               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.036771,            0.010317,                   0,                   1,             0.93603,             0.97864,             0.60328,            0.027405,           0.0064255,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.036337,            0.011364,                   0,             0.99856,              0.9375,             0.97864,             0.57249,            0.027691,           0.0063944,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.032499,            0.011292,                   0,              0.9998,              0.9375,               0.983,             0.59435,              0.0268,            0.006332,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.033744,            0.010711,                   0,             0.99669,              0.9375,             0.98833,             0.62879,            0.026013,           0.0062467,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.035764,            0.011674,                   0,             0.99791,              0.9375,               0.983,             0.59899,            0.028219,            0.006253,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.035177,           0.0091969,                   0,             0.99932,              0.9375,             0.98071,             0.62574,            0.026095,           0.0063223,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.033655,            0.010407,                   0,             0.99983,              0.9375,             0.97674,             0.59723,            0.026076,           0.0063415,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.029914,           0.0098971,                   0,             0.99871,              0.9375,             0.97864,             0.58304,            0.025639,           0.0063237,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.030072,            0.011375,                   0,             0.99871,              0.9375,             0.97864,             0.58304,            0.025639,           0.0063237,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.032354,           0.0099608,                   0,             0.99916,              0.9375,             0.97864,             0.60047,            0.025746,           0.0063287,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.032239,           0.0092065,                   0,             0.99889,              0.9375,               0.983,              0.6054,            0.025833,           0.0062709,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.032326,            0.011114,                   0,              0.9995,              0.9375,               0.983,             0.60152,            0.026493,           0.0062929,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.030032,            0.011645,                   0,             0.99821,              0.9375,             0.98071,             0.59752,            0.026831,           0.0062417,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.031641,            0.010574,                   0,             0.99858,              0.9375,             0.97864,             0.57885,             0.02753,           0.0063165,                   0,            0.000595,            0.000595,            0.000595
                  97,             0.02767,            0.011206,                   0,             0.99854,              0.9375,             0.97864,             0.58044,            0.027045,           0.0063317,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.030769,           0.0099263,                   0,             0.99856,              0.9375,              0.9734,             0.58926,            0.027026,           0.0063525,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.032211,            0.010349,                   0,              0.9991,              0.9375,             0.97056,             0.58242,            0.026495,           0.0063345,                   0,            0.000298,            0.000298,            0.000298
